Track_ID,Track_Name,Track_Artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1eldTykrnkEBLX41bk5eMw,Petit génie,"['Jungeli', 'Imen Es', 'Alonzo', 'Abou Debeing', 'Lossa']",0.794,0.578,1,-5.932,0,0.25,0.103,1.24e-05,0.363,0.967,126.032,217260,4
2PWJx5FwMrMVEaTjwYait1,FLASHBACK,"['Favé', 'Gazo']",0.762,0.564,6,-6.934,0,0.088,0.39,0.0,0.0654,0.744,141.938,176120,4
2HafqoJbgXdtjwCOvNEF14,Si No Estás,['iñigo quintero'],0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,184061,4
2ImdwbujxKFxN1UxEvf2dD,LAISSE MOI,['KeBlack'],0.765,0.717,10,-7.877,0,0.349,0.456,1.01e-05,0.126,0.695,120.025,168620,4
30D9x5LFgL2o9xidjX2wtE,Casanova,"['Soolking', 'Gazo']",0.801,0.832,7,-4.579,0,0.208,0.677,2.86e-05,0.117,0.758,132.044,189091,4
3rUGC1vUpkDG9CZFHMur1t,greedy,['Tate McRae'],0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,131872,1
2BvjmY4Mp5q1AHL0laetd6,Saiyan,"[""Heuss L'enfoiré"", 'Gazo']",0.775,0.808,7,-4.568,0,0.0353,0.353,4.17e-05,0.207,0.638,125.013,189840,4
5mjYQaktjmjcMKcUIcqz4s,Strangers,['Kenya Grace'],0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,172965,4
0EzNyXyU7gHzj2TN8qYThj,Bolide allemand,['SDM'],0.718,0.643,4,-7.473,0,0.16,0.441,0.0,0.113,0.645,131.825,176747,4
24JrEVHDfohup0ypuOV7os,Laboratoire,['Werenoi'],0.801,0.604,5,-6.525,0,0.21,0.463,0.00378,0.111,0.534,125.024,162840,4
0F74FBWgkvXjP3V6tRlCx4,Sans Coeur,"['Shay', 'Niska']",0.765,0.764,7,-4.265,0,0.0542,0.168,0.000441,0.167,0.749,82.024,176000,4
31nfdEooLEq7dn3UMcIeB5,Vois sur ton chemin - Techno Mix,['BENNETT'],0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,178156,4
09FcXaLu1BdrRNgxyBi6p5,Meridian,"['Dave', 'Tiakola']",0.897,0.665,4,-4.718,0,0.0713,0.169,4.02e-05,0.217,0.601,115.05,255160,4
1DmW5Ep6ywYwxc2HMT5BG6,Tattoo,['Loreen'],0.545,0.779,3,-6.235,0,0.0751,0.243,1.66e-06,0.123,0.303,150.002,183375,4
5o4XJKRxUK6nXhFLAIS33A,Gimme Love,['Sia'],0.284,0.755,1,-3.145,0,0.05,0.00335,0.00195,0.103,0.199,93.384,214067,4
3bK1zVFBKIzYjmptmI4NsJ,Overdrive (feat. Norma Jean Martine),"['Ofenbach', 'Norma Jean Martine']",0.611,0.757,6,-3.546,1,0.03,0.00257,0.0,0.058,0.279,126.963,155905,4
4OMJGnvZfDvsePyCwRGO7X,Houdini,['Dua Lipa'],0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,185918,4
7ujxY1bqVRvMe1sR5iFmxt,Ailleurs,['Josman'],0.738,0.593,10,-8.461,0,0.28,0.357,0.0,0.11,0.477,72.494,165507,4
4wNyrbY6B2Okii8VeKo2B2,Meuda,['Tiakola'],0.724,0.593,9,-6.498,1,0.0766,0.508,0.0,0.196,0.624,141.901,152547,4
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,['Doja Cat'],0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,230480,4
5JVR0F2Gya13oWlAG3dc62,1 2 3 4,"['Zokush', 'RK']",0.825,0.668,11,-7.169,0,0.135,0.256,0.0,0.113,0.557,129.983,180793,4
1JvMPB1mkcrQsnasBGMBYd,No love,"['Ninho', 'Ayra Starr']",0.668,0.436,8,-7.932,0,0.391,0.174,0.0,0.0951,0.363,80.431,202187,4
