Track_ID,Track_Name,Track_Artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1rDgAHDX95RmylxjgVW9tN,Show,['Ado'],0.616,0.975,10,-0.425,0,0.208,0.172,1.62e-06,0.143,0.742,132.054,189773,4
0GWNtMohuYUEHVZ40tcnHF,SPECIALZ,['King Gnu'],0.566,0.85,6,-4.431,0,0.0599,0.0663,0.0,0.319,0.722,117.048,238987,4
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"['Jung Kook', 'Latto']",0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,183551,4
5i8lwhzx9FyilInJWa5lhn,rendez-vous,['shy taupe'],0.497,0.649,2,-4.76,1,0.0325,0.117,0.0,0.17,0.317,146.056,237740,4
1hAloWiinXLPQUJxrJReb1,アイドル,['YOASOBI'],0.457,0.941,10,-2.692,0,0.0917,0.105,1.38e-06,0.437,0.876,165.783,211733,4
74X2u8JMVooG2QbjRxXwR8,Perfect Night,['LE SSERAFIM'],0.697,0.82,5,-4.502,1,0.0308,0.1,0.0,0.0631,0.502,136.054,159080,4
0YTM7bCx451c6LQbkddy4Q,勇者,['YOASOBI'],0.655,0.907,5,-3.868,1,0.0488,0.0351,1.37e-05,0.15,0.506,103.968,194267,4
3gQ19Wo6CbBpdHYmt2GVt0,Kaiju no Hanauta,['Vaundy'],0.335,0.943,2,-3.176,1,0.067,0.00334,0.0,0.324,0.64,75.093,224805,4
12usPU2WnqgCHAW1EK2dfd,青のすみか,['Tatsuya Kitani'],0.479,0.898,1,-4.809,1,0.169,0.0134,0.0,0.297,0.639,151.99,196467,4
02tNuntKQsoou5T4O8meyh,Hana,['Fujii Kaze'],0.769,0.716,5,-8.203,0,0.0429,0.118,0.00659,0.158,0.66,123.031,246700,4
4NaaF28BeO9WzjDrSS71Nz,ダンスホール,['Mrs. GREEN APPLE'],0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,203150,4
2cxcqKwQtfKq7giphxjzOu,晩餐歌,['tuki.'],0.649,0.641,8,-4.665,1,0.0251,0.433,0.0,0.11,0.63,102.983,215853,4
4zrKPIygugUDKGFEjVwpSB,Subtitle,['OFFICIAL HIGE DANDISM'],0.649,0.683,6,-6.49,1,0.0424,0.0313,0.0,0.118,0.381,130.0,305509,4
170XOP1T4MvY9TLTgPw07D,Magic,['Mrs. GREEN APPLE'],0.671,0.758,7,-3.793,1,0.0474,0.0604,0.0,0.332,0.537,117.51,263107,4
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,['Jung Kook'],0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,206020,4
5m21ZR5lO6U0tp9KENxuCc,I'm a mess,['MY FIRST STORY'],0.485,0.946,6,-3.721,0,0.11,0.0068,0.0,0.289,0.621,130.059,251333,4
0nokJDMZpEnGbC09v5Fn6T,Love Song,['マルシィ'],0.558,0.597,1,-6.533,1,0.0277,0.298,0.0,0.0731,0.528,78.047,256707,4
5BC6kr6etk2Y9J62AyI4i3,青と夏,['Mrs. GREEN APPLE'],0.31,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,270027,4
4TBpE4HSPeB6OTqbqqwSon,HEARTRIS,['NiziU'],0.737,0.977,7,-2.146,0,0.113,0.117,4.48e-06,0.347,0.844,124.068,180884,4
