Track_ID,Track_Name,Track_Artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1gGgtkEvc5TsxZNFWHs6jN,Gift,['wagna'],0.682,0.652,1,-11.457,1,0.0779,0.157,0.000129,0.157,0.366,138.012,113329,4
2lHwUylFGZqum0O7nljf7N,Спонсор твоих проблем,"['GUF', 'A.V.G']",0.719,0.756,9,-4.075,0,0.379,0.0737,0.0,0.0603,0.63,165.937,237108,4
3Wv56i83yRcyKYMgAg0jyQ,Балет,['АлСми'],0.687,0.621,1,-5.24,0,0.263,0.334,0.0,0.325,0.691,142.954,120522,4
6pgZZ8xfIBewpXeeVvIjyl,Haunted House,"['Aarne', 'Big Baby Tape', 'kizaru']",0.905,0.726,8,-4.096,0,0.0543,0.0349,0.00963,0.138,0.677,150.031,153600,4
09c1WjuWwQVaC6ylMyEmCH,Май,['MACAN'],0.713,0.56,0,-7.582,0,0.076,0.313,0.0,0.121,0.192,99.042,156879,4
1pMg5ArFgRN6s9jxzJ1CB0,Good girl gone bad,"[""Ramil'"", 'MACAN']",0.786,0.449,10,-6.588,0,0.299,0.379,0.0,0.096,0.373,134.092,137910,4
5Eu2G24zbTtEtBcCilAZ3G,Север,"['Tkimali', 'Lolita']",0.643,0.511,1,-9.066,1,0.29,0.0735,0.00306,0.259,0.527,130.786,115878,4
36wLGbqIfs6wlEKq80oHns,Царица,['ANNA ASTI'],0.734,0.813,5,-5.503,0,0.0463,0.105,0.0,0.354,0.511,116.007,215302,4
4BWOiYZZ3LmbwZIc12XA95,Заводит,"['Jakone', 'A.V.G']",0.93,0.701,11,-4.219,0,0.294,0.00936,0.0,0.133,0.888,125.107,117163,4
0acLXm5c3KNiPU3am8Z7i0,Wino,"['wagna', 'ebert']",0.716,0.447,11,-12.26,0,0.254,0.109,0.0,0.125,0.194,86.849,169017,4
5kAh0HvtfNR2aNkCH1BkzH,Давай сбежим (Искорки),['5УТРА'],0.686,0.829,1,-7.06,0,0.212,0.47,0.2,0.117,0.278,188.166,151915,4
1nginMHZwOYjtYDndhCeY2,Прощание,"['Три дня дождя', 'MONA']",0.479,0.614,6,-6.932,0,0.0304,0.0171,0.548,0.156,0.258,96.027,236250,4
7wttW3gnMHuS0eXHs5RwUZ,4 ur girl,"['Aarne', 'Big Baby Tape', 'Toxi$', 'Chief Keef']",0.839,0.745,3,-5.651,0,0.139,0.105,0.0,0.141,0.618,133.968,175522,4
