Track_ID,Track_Name,Track_Artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1KGvrw4RWClq7yt42sGG1v,Margiela,['Ezhel'],0.776,0.648,1,-7.553,1,0.27,0.335,0.0,0.121,0.584,116.145,204413,4
3auN910HHNYykQo8i9q5J1,Ateşe Düştüm,['Mert Demir'],0.657,0.372,4,-14.11,0,0.0476,0.835,0.0136,0.0981,0.919,188.011,230162,4
0JU2QfhTrgFsVq5yQ4YQlu,Ağlama ben ağlarım,['Canozan'],0.416,0.473,9,-9.726,0,0.0351,0.553,1.2e-06,0.168,0.167,118.354,191695,3
2huuuyJHQ6KK6qzwvUlG3c,İlle de Sen,"['Muti', 'Azer Bülbül']",0.67,0.714,5,-6.146,1,0.0631,0.119,0.0,0.207,0.535,141.071,146819,4
4rbXJipz3CaSQwtG3xXzzT,Fark Ettim,['Semicenk'],0.678,0.745,11,-6.986,0,0.105,0.081,0.0,0.101,0.588,106.046,155406,4
1PiyTtoNn0m4kfJWLfjHny,Bertaraf,"['Canbay & Wolker', 'Heijan', 'Muti']",0.724,0.905,8,-6.316,1,0.232,0.03,0.000166,0.467,0.71,105.043,153735,4
1wIdx6xw7B01SnnJoamriL,Yüreğim Ağlar,['Amo988'],0.665,0.577,0,-9.074,1,0.0644,0.438,0.0,0.421,0.318,109.978,203000,4
6kvf06eThDCrvYknMY32To,MINI TERORISTA,['Jeff Redd'],0.782,0.507,8,-12.12,0,0.0837,0.109,0.0,0.179,0.433,100.03,134400,4
3wtOAcctakLBwmzbCkRSHR,Kehribar,"['Burak Bulut', 'Ebru Yaşar']",0.44,0.656,2,-5.548,0,0.296,0.533,0.0,0.0872,0.472,100.007,168975,4
3ZwRkdnTb4az8X5n4WXuHA,aklına ben gelicem,['BLOK3'],0.277,0.546,10,-10.798,0,0.062,0.148,0.0,0.244,0.217,199.957,149406,4
74HBdKMibHlpW312HTFReN,BELLYDANCING,['INJI'],0.826,0.86,7,-3.914,1,0.119,0.0056,0.273,0.422,0.766,121.074,122520,4
6tHhAUAMwUwlEGpAVq1jlX,Can Dostum,['Emir Can İğrek'],0.544,0.517,4,-11.557,0,0.057,0.128,9.28e-06,0.157,0.384,93.92,147510,5
6UX8nGE5sT7FsUAgQILD6X,Lafı mı Olur,['Kibariye'],0.687,0.65,7,-11.052,0,0.0837,0.645,0.0,0.115,0.91,93.33,212062,4
30DEgnb76AxLZgrrvqNErB,Basit Numaralar,['Zerrin Özer'],0.775,0.882,7,-4.56,0,0.306,0.506,0.00124,0.0808,0.583,154.949,176779,4
06wiBJmkmQSQUEUj8TESu0,Rüya Gibi,"['Dedublüman', 'Mavzer Tabancas']",0.471,0.726,11,-8.061,0,0.0433,0.0629,0.0719,0.296,0.475,120.035,170500,4
6ed4S0as5mj3nSK81HJuyz,Caney,"['UZI', 'Azer Bülbül']",0.686,0.62,5,-8.95,0,0.138,0.443,0.0,0.127,0.695,144.033,165060,4
7lj9PG3guq2A4VLRBLkfKI,Mesafe,['Semicenk'],0.611,0.776,9,-4.046,0,0.136,0.287,0.0,0.167,0.342,93.892,231727,4
6NbXYfMZULpf1sGxp8Qx0P,Çok Yazık,['Çağan Şengül'],0.356,0.459,3,-6.686,0,0.0342,0.385,3.02e-06,0.128,0.143,124.1,218710,4
